station,adjacent,line
U-Bahnhof Wutzkyallee,U-Bahnhof Lipschitzallee,U7
U-Bahnhof Wutzkyallee,U-Bahnhof Zwickauer Damm,U7
U-Bahnhof Britz-Süd,U-Bahnhof Parchimer Allee,U7
U-Bahnhof Britz-Süd,U-Bahnhof Johannisthaler Chaussee,U7
U-Bahnhof Parchimer Allee,U-Bahnhof Britz-Süd,U7
U-Bahnhof Parchimer Allee,U-Bahnhof Blaschkoallee,U7
U-Bahnhof Zwickauer Damm,U-Bahnhof Wutzkyallee,U7
U-Bahnhof Zwickauer Damm,U-Bahnhof Rudow,U7
U-Bahnhof Görlitzer Bahnhof,U-Bahnhof Schlesisches Tor,U1
U-Bahnhof Görlitzer Bahnhof,U-Bahnhof Kottbusser Tor,U1
U-Bahnhof Schlesisches Tor,U-Bahnhof Görlitzer Bahnhof,U1
U-Bahnhof Schlesisches Tor,Bahnhöfe Berlin Warschauer Straße,U1
U-Bahnhof Schlesisches Tor,U-Bahnhof Warschauer Straße,U1
U-Bahnhof Rathaus Neukölln,U-Bahnhof Karl-Marx-Straße,U7
U-Bahnhof Rathaus Neukölln,U-Bahnhof Hermannplatz,U7
Bahnhof Berlin-Lichtenberg,U-Bahnhof Friedrichsfelde,U5
Bahnhof Berlin-Lichtenberg,U-Bahnhof Magdalenenstraße,U5
Bahnhof Berlin-Lichtenberg,S-Bahnhof Friedrichsfelde Ost,U5
Bahnhof Berlin-Lichtenberg,S-Bahnhof Nöldnerplatz,U5
Bahnhof Berlin-Lichtenberg,U-Bahnhof Friedrichsfelde,Preußische Ostbahn
Bahnhof Berlin-Lichtenberg,U-Bahnhof Magdalenenstraße,Preußische Ostbahn
Bahnhof Berlin-Lichtenberg,S-Bahnhof Friedrichsfelde Ost,Preußische Ostbahn
Bahnhof Berlin-Lichtenberg,S-Bahnhof Nöldnerplatz,Preußische Ostbahn
Bahnhof Berlin-Lichtenberg,U-Bahnhof Friedrichsfelde,Bahnstrecke Berlin Frankfurter Allee–Berlin-Rummelsburg
Bahnhof Berlin-Lichtenberg,U-Bahnhof Magdalenenstraße,Bahnstrecke Berlin Frankfurter Allee–Berlin-Rummelsburg
Bahnhof Berlin-Lichtenberg,S-Bahnhof Friedrichsfelde Ost,Bahnstrecke Berlin Frankfurter Allee–Berlin-Rummelsburg
